Name;Price1kg;Expert;Score;Meat;Cereals
Tail-Waggin' Tidbits;499;1;4,90;86,00;9,00
Finicky Feline Feast;499;1;4,90;85,00;10,00
Paws & Play Pellets;499;1;4,90;85,00;10,00
Wagging Tail Tasties;487;1;4,80;81,00;14,00
Meow Mix Marvel;449;1;4,80;80,00;15,00
Nutty Nibbles Nosh;487;1;4,80;80,00;15,00
Barkley's Bliss Bites;487;1;4,80;79,00;16,00
Pawsitively Purrfect Pellets;487;1;4,80;79,00;16,00
Puppy Picnic Platter;487;1;4,80;79,00;16,00
Feathered Friend Fiesta;483;1;4,70;78,00;17,00
Barking Buffet Bonanza;449;1;4,70;78,00;17,00
Doggy Delight Delicacies;449;1;4,70;78,00;17,00
Fishy Feline Favorites;515;1;4,60;77,00;18,00
Feline Fantasy Feast;483;1;4,60;77,00;18,00
Delightful Doggie Dine-In;437;1;4,50;76,00;19,00
Catnip Carnival Crunch;374;1;4,50;76,00;19,00
Pounce & Purr Platter;515;1;4,60;76,00;19,00
Tail Waggin' Delights;312;1;4,20;75,00;20,00
Wholesome Woof Wafers;449;1;4,70;75,00;20,00
BowWow Bites Buffet;437;1;4,50;75,00;20,00
Whisker Whisperer Wholesome;399;1;4,20;74,00;21,00
Kibble Kingdom Krunch;328;1;4,10;74,00;21,00
Furry Feast Fandango;412;1;4,10;73,00;22,00
Canine Cuisine Carnival;428;1;4,10;73,00;22,00
Canine Carnival Crunch;437;1;4,30;72,00;23,00
BowWow Bonanza;412;1;4,20;72,00;23,00
Canine Culinary Carnival;359;1;3,90;71,00;24,00
Meow Majesty Munchies;359;1;3,90;71,00;24,00
Purrfection Feast;299;1;4,50;70,00;25,00
Tasty Tuna Treats;377;1;4,00;70,00;25,00
Bark & Bite Buffet;425;0;4,00;70,00;25,00
Tuna Temptations Treats;377;0;4,00;70,00;25,00
Puppy Palate Pleasers;428;0;4,00;69,00;26,00
Purr-fectionist Pellets;362;0;4,00;69,00;26,00
Paw-lickin' Good Pellets;425;0;4,00;68,00;27,00
Purrty Kitty Palate;362;0;4,00;68,00;27,00
Whisker Wonders Wholesome;338;0;3,70;68,00;27,00
Meowster Morsels;338;0;3,70;67,00;28,00
Meow Moments Munchies;287;0;3,70;67,00;28,00
Crunchy Catnip Combo;338;0;3,70;67,00;28,00
Finicky Feline Fix;299;0;3,80;66,00;29,00
Whisker Wonderland;374;0;3,80;65,00;30,00
Delightful Doggie Delicacies;275;0;3,40;65,00;30,00
Whisker Wisdom Wafers;374;0;3,80;65,00;30,00
Kitty Kuisine Komfort;318;0;3,50;64,00;31,00
Pounce & Play Platter;299;0;3,60;63,00;32,00
Happy Hound Hash;357;0;3,60;62,00;33,00
Bark Bites Buffet;287;0;3,50;60,00;35,00
Cuddly Companion Cuisine;256;0;3,20;58,00;37,00
Divine Doggie Dinner;275;0;3,30;55,00;40,00
